Id,HitboxActive,FirstActionableFrame,BaseDamage,Angle,BaseKnockBackSetKnockback,LandingLag,AutoCancel,KnockbackGrowth,Type,Name,OwnerId,LastModified
738,"18-22","67","7/6","80/270","68/40","","","60/50",2,"Falco Phantasm (Aerial)",13,11/27/2016 12:08:24
739,"20, 22, 24, 26, 28, 30, 32","-","2","70","40","","","40",2,"Fire Bird (Hits 1-7)",13,11/27/2016 12:08:24
740,"44-47","-","3","361","30","","","50",2,"Fire Bird (Hit 8)",13,11/27/2016 12:08:24
741,"49, 51, 53, 55, 57, 59","-","2","365","30","","","50",2,"Fire Bird (Hits 9-14)",13,11/27/2016 12:08:24
742,"61","-","2","361","70","","","90",2,"Fire Bird (Hit 15)",13,11/27/2016 12:08:24
743,"5-14 (Reflects: 1-33)","51","5 (+5)","361","35","","","30",2,"Reflector",13,11/27/2016 12:08:24
744,"2","18","2","35/80/20","15","","","40",1,"Jab 1",14,11/27/2016 12:08:26
745,"2-3","21","1","40/76/68","25/32/32","","","70/80/80",1,"Jab 2",14,11/27/2016 12:08:26
746,"-","-","0.7","361","20","","","20",1,"Rapid Jab",14,11/27/2016 12:08:26
747,"3-4","33","2","361","30","","","170",1,"Rapid Jab Finisher",14,11/27/2016 12:08:26
748,"4-7","36","6","70","55","","","90",1,"Dash Attack",14,11/27/2016 12:08:26
749,"8-15","-","4","70","40","","","90",1,"Dash Attack (Late)",14,11/27/2016 12:08:26
750,"6-8","24","8","361","10","","","110",1,"Ftilt (Up)",14,11/27/2016 12:08:26
751,"6-8","-","6","361","10","","","110",1,"Ftilt",14,11/27/2016 12:08:26
752,"6-8","-","7","361","10","","","110",1,"Ftilt (Down)",14,11/27/2016 12:08:26
753,"3-5","28","9/7/6/6","110/84/80/80","22/18/18/18","","","110",1,"Utilt",14,11/27/2016 12:08:26
754,"6-7","-","6/6/5/5","110/84/80/80","22/18/18/18","","","110",1,"Utilt (Late)",14,11/27/2016 12:08:26
755,"7-9","28","8/8/7/6","45/65/80/90","25","","","100",1,"Dtilt",14,11/27/2016 12:08:26
756,"13-15","46","14","361","20","","","98",1,"Fsmash",14,11/27/2016 12:08:26
757,"16-18","-","11","361","20","","","100",1,"Fsmash (Late)",14,11/27/2016 12:08:26
758,"8-9 (Head Intangibility: 1-9)","56","16/16/14","80","30","","","94",1,"Usmash",14,11/27/2016 12:08:26
759,"10-11","-","11","361","10","","","100",1,"Usmash (Late)",14,11/27/2016 12:08:26
760,"6-7 (Leg Intangibility: 6-7)","53","14/14/12/12","25/25/361/361","30","","","75",1,"Dsmash",14,11/27/2016 12:08:26
762,"6-7","29","","","","","","",1,"Standing Grab",14,11/27/2016 12:08:26
763,"10-11","36","","","","","","",1,"Dash Grab",14,11/27/2016 12:08:26
764,"11-12","34","","","","","","",1,"Pivot Grab",14,11/27/2016 12:08:26
766,"-","-","4, 3","40","35","","","130",3,"Fthrow",14,11/27/2016 12:08:26
767,"-","-","Throw: 2, Lasers: 2&#37;&#215;3","45","80","","","85",3,"Bthrow",14,11/27/2016 12:08:26
768,"-","-","Throw: 2, Lasers: 2&#37;&#215;3","90","75","","","110",3,"Uthrow",14,11/27/2016 12:08:26
769,"-","-","Lasers: 1.5&#37;&#215;4, Throw: 1","60","85","","","100",3,"Dthrow",14,11/27/2016 12:08:26
775,"4-6","42","9","361","10","11","1-3, 32&gt;","100",0,"Nair",14,11/27/2016 12:08:26
776,"7-25","-","6","361","0","-","-","100",0,"Nair (Late)",14,11/27/2016 12:08:26
777,"7-8","50","2","366/366/75/75","W: 120/B: 60","27","45&gt;","100/130",0,"Fair (Hit 1)",14,11/27/2016 12:08:26
778,"13-14, 19-20, 26-27","-","1, 0.6, 0.8","366/366/75/75","W: 120/B: 60","-","-","100/150",0,"Fair (Hits 2-4)",14,11/27/2016 12:08:26
779,"32-33","-","3","70","60","-","-","130",0,"Fair (Hit 5)",14,11/27/2016 12:08:26
780,"9-11","49","13","30","20","15","1-8, 15&gt;","88",0,"Bair",14,11/27/2016 12:08:26
781,"9-10","36","5","92","W: 30","22","1-8, 25&gt;","130",0,"Uair (Hit 1)",14,11/27/2016 12:08:26
782,"12-13","-","11","85","30","-","-","100",0,"Uair (Hit 2)",14,11/27/2016 12:08:26
783,"5-6, 8-9, 11-12, 14-15, 17-18, 20-21","50","1.4","250/110","W: 5/B: 38","25","1-4, 29&gt;","100/30",0,"Dair (Hits 1-6)",14,11/27/2016 12:08:26
784,"23","-","3","60","50","-","-","140",0,"Dair (Hits 7)",14,11/27/2016 12:08:26
785,"1-3","-","1","45","20","-","-","150",0,"Dair (Landing)",14,11/27/2016 12:08:26
786,"11-12","40","3","361","0","","","0",2,"Blaster (Early, Ground)",14,11/27/2016 12:08:26
787,"13-19","-","2","361","0","","","0",2,"Blaster (Ground)",14,11/27/2016 12:08:26
788,"20-30","-","1.4","361","0","","","0",2,"Blaster (Late, Ground)",14,11/27/2016 12:08:26
789,"9-10","38","3","361","0","","","0",2,"Blaster (Early, Aerial)",14,11/27/2016 12:08:26
790,"11-17","-","2","361","0","","","0",2,"Blaster (Aerial)",14,11/27/2016 12:08:26
791,"18-28","-","1.4","361","0","","","0",2,"Blaster (Late, Aerial)",14,11/27/2016 12:08:26
792,"21-25","70","3","80","10","","","170",2,"Fox Illusion (Grounded)",14,11/27/2016 12:08:26
793,"21-25","70","3","60","10","","","200",2,"Fox Illusion (Aerial)",14,11/27/2016 12:08:26
794,"20, 22, 24, 26, 28, 30, 32","-","2","110","28","","","30",2,"Fire Fox (Hits 1-7)",14,11/27/2016 12:08:26
795,"43-46","-","14","80","60","","","60",2,"Fire Fox (Hit 8)",14,11/27/2016 12:08:26
796,"47-72","-","8","80","60","","","60",2,"Fire Fox (Hit 8, Late)",14,11/27/2016 12:08:26
797,"6-7 (Roll/Jump cancellable on reflection, Reflects: 4- (1.4&#215;, 50% Break Threshold))","41","2","10/40","66","","","32/45",2,"Reflector",14,11/27/2016 12:08:26
798,"7-8","29","8/10/6","361","38/30/40","","","90/90/105",1,"Jab 1",15,11/27/2016 12:08:27
799,"10-12","38","14","70","50","","","80",1,"Dash Attack",15,11/27/2016 12:08:27
800,"13-19","-","10","80","45","","","60",1,"Dash Attack (Late)",15,11/27/2016 12:08:27
801,"10-12","40","13/12/12","22","30","","","88",1,"Ftilt",15,11/27/2016 12:08:27
802,"6-70","115","0","180/180/0/0","W: 1","","","100",1,"Utilt (Windboxes)",15,11/27/2016 12:08:27
803,"81-84","-","28/28/20/18","361/361/80/80","60","","","80",1,"Utilt (Hitbox)",15,11/27/2016 12:08:27
804,"10-12","36","13","80/70/60","30","","","100",1,"Dtilt",15,11/27/2016 12:08:27
805,"21-26","60","24","40","35/30","","","83/75",1,"Fsmash (All Angles)",15,11/27/2016 12:08:27
806,"21-23","42","24/24/21","85/78/75","40","","","71/71/75",1,"Usmash",15,11/27/2016 12:08:27
807,"15-18","64","6","160/140/154/50","W: 70/80/108/80","","","100",1,"Dsmash (Hit 1)",15,11/27/2016 12:08:27
808,"35-38","-","15/15/13","130","60","","","94",1,"Dsmash (Hit 2)",15,11/27/2016 12:08:27
810,"7-8","36","","","","","","",1,"Standing Grab",15,11/27/2016 12:08:27
811,"11-12","45","","","","","","",1,"Dash Grab",15,11/27/2016 12:08:27
812,"10-11","42","","","","","","",1,"Pivot Grab",15,11/27/2016 12:08:27
814,"-","-","5, 8","43","60","","","65",3,"Fthrow",15,11/27/2016 12:08:27
815,"-","-","5, 5","43","30","","","130",3,"Bthrow",15,11/27/2016 12:08:28
816,"-","-","7, 3","90","70","","","105",3,"Uthrow",15,11/27/2016 12:08:28
817,"-","-","7","65","70","","","50",3,"Dthrow",15,11/27/2016 12:08:28
823,"7-8","42","7","55/70/55/100","20/20/50/20","17","1-3, 38&gt;","30/30/110/30",0,"Nair (Hit 1)",15,11/27/2016 12:08:28
824,"9-13","-","5.25","55/70/55/100","20/20/50/20","-","-","30/30/110/30",0,"Nair (Hit 1, Late)",15,11/27/2016 12:08:28
825,"17-18","-","12","361","25","-","-","106",0,"Nair (Hit 2)",15,11/27/2016 12:08:28
826,"19-29","-","9","361","25","-","-","106",0,"Nair (Hit 2, Late)",15,11/27/2016 12:08:28
827,"14-19","45","17/18","361","20","22","1-6, 55&gt;","93",0,"Fair",15,11/27/2016 12:08:28
828,"10-12","36","16/17/16","361","40","19","1-6, 22&gt;","89",0,"Bair",15,11/27/2016 12:08:28
829,"6-10","34","13/12","361","35","19","25&gt;","100",0,"Uair (Early)",15,11/27/2016 12:08:28
830,"11-13","-","12/10","30","30","-","-","80",0,"Uair",15,11/27/2016 12:08:28
831,"14-16","-","8/6","0","20","-","-","70",0,"Uair (Late)",15,11/27/2016 12:08:28
832,"16-18","47","19/17","270/361","20","26","1-3, 32&gt;","100",0,"Dair",15,11/27/2016 12:08:28
833,"70-71 (Super Armor: 11-66)","118","30","50","120","","","42",2,"Warlock Punch",15,11/27/2016 12:08:28
834,"70-71","-","38","30","30","","","100",2,"Warlock Punch (Aerial)",15,11/27/2016 12:08:28
835,"80-81 (Super Armor: 11-58)","128","37","361","30","","","100",2,"Warlock Punch (B-Reversed)",15,11/27/2016 12:08:28
836,"80-81","-","40","30","40","","","100",2,"Warlock Punch (B-Reversed, Aerial)",15,11/27/2016 12:08:28
837,"16-30","60","-","-","-","","","-",2,"Flame Choke (Ground)",15,11/27/2016 12:08:28
838,"19-31","-","-","-","-","","","-",2,"Flame Choke (Aerial)",15,11/27/2016 12:08:28
839,"32 (Super Armor: 17-40)","62","12","361","60","","","90",2,"Flame Choke (Ground, Attack)",15,11/27/2016 12:08:28
840,"1-2","41","15","361","40","","","82",2,"Flame Choke (Aerial, Attack)",15,11/27/2016 12:08:28
841,"14-28","-","-","-","-","","","-",2,"Dark Dive (Command Grab)",15,11/27/2016 12:08:28
842,"34-36","-","7","70","70","","","90",2,"Dark Dive (Attack)",15,11/27/2016 12:08:28
843,"-","-","1.2","361","50","","","100",2,"Dark Dive (Latch)",15,11/27/2016 12:08:28
844,"-","60","9","361","40","","","90",2,"Dark Dive (Latch)",15,11/27/2016 12:08:28
845,"16-35","77","14/14/12","45","60","","","70",2,"Wizard's Foot (Ground)",15,11/27/2016 12:08:28
846,"16-18","58","15","290","50","","","100",2,"Wizard's Foot (Aerial)",15,11/27/2016 12:08:28
847,"19-38","-","14","80","50","","","100",2,"Wizard's Foot (Aerial, Late)",15,11/27/2016 12:08:28
848,"2-3","45","8","80","80","","","35",2,"Wizard's Foot (Landing)",15,11/27/2016 12:08:28
849,"3-6","22","2","70/60/80","30","","","30",1,"Jab 1",16,11/27/2016 12:08:29
850,"3-4","22","1.6","70/60/90","30","","","50",1,"Jab 2",16,11/27/2016 12:08:29
851,"5-9","36","3.5","361","60","","","100",1,"Jab 3",16,11/27/2016 12:08:29
852,"4-5","36","2","45","60","","","120",1,"Rapid Jab Finisher",16,11/27/2016 12:08:29
853,"7-10","31","7","60","100","","","40",1,"Dash Attack",16,11/27/2016 12:08:29
854,"10-12","33","7.3","361","20/30/40","","","110/90/70",1,"Ftilt (All Angles)",16,11/27/2016 12:08:29
855,"9-12","33","4.5","92/90/80","60","","","100",1,"Utilt",16,11/27/2016 12:08:29
856,"5-6","27","7","70","60","","","40",1,"Dtilt",16,11/27/2016 12:08:29
857,"13-15","50","14","361","30","","","101",1,"Fsmash",16,11/27/2016 12:08:29
858,"12-17","52","5","366","30","","","120",1,"Usmash (Hit 1)",16,11/27/2016 12:08:29
859,"18","-","14/11/11/11/11","90/44/44/44/44","30","","","104/100/100/100/100",1,"Usmash (Hit 2, Early)",16,11/27/2016 12:08:29
860,"19-20","-","11","4","30","","","100",1,"Usmash (Hit 2)",16,11/27/2016 12:08:29
861,"21","-","10","40","30","","","98",1,"Usmash (Hit 2, Late)",16,11/27/2016 12:08:29
862,"16-18","55","13/13/11/11","30","32","","","92",1,"Dsmash",16,11/27/2016 12:08:29
863,"30-73 (Rehit rate: 3)","80","0.5","90","70","","","100",1,"Down Taunt",16,11/27/2016 12:08:29
865,"11-12","29","","","","","","",1,"Standing Grab",16,11/27/2016 12:08:29
866,"9-10","38","","","","","","",1,"Dash Grab",16,11/27/2016 12:08:29
867,"15-16","37","","","","","","",1,"Pivot Grab",16,11/27/2016 12:08:29
869,"-","-","5","5","70","","","45",3,"Fthrow",16,11/27/2016 12:08:29
870,"-","-","8","140","55","","","60",3,"Bthrow",16,11/27/2016 12:08:29
871,"-","-","5","93","60","","","120",3,"Uthrow",16,11/27/2016 12:08:29
872,"-","-","5","65","65","","","50",3,"Dthrow",16,11/27/2016 12:08:29
878,"12-13","65","11","60","30","12","1-9, 40&gt;","95",0,"Nair",16,11/27/2016 12:08:29
879,"14-16","-","6","60","30","-","-","95",0,"Nair (Late)",16,11/27/2016 12:08:29
880,"16-17","55","14","45","30","15","1-12, 40&gt;","84",0,"Fair",16,11/27/2016 12:08:29
881,"5","46","3","365/30/30","W: 0/100/130","13","1-3, 35&gt;","100",0,"Bair (Hit 1)",16,11/27/2016 12:08:29
882,"8","-","2.5","365/40/35","W: 0/105/140","-","-","100",0,"Bair (Hit 2)",16,11/27/2016 12:08:29
883,"13-16","-","4","361","60","-","-","120",0,"Bair (Hit 3)",16,11/27/2016 12:08:29
884,"7-8, 9-10, 11-12, 13-14","42","1.3","366","45","16","1-2, 35&gt;","100",0,"Uair (Hits 1-4)",16,11/27/2016 12:08:29
885,"15-16","-","1.3","85","W: 10 B: 45","-","-","100",0,"Uair (Hit 5)",16,11/27/2016 12:08:29
886,"17","-","3","75","40","-","-","168",0,"Uair (Hit 6)",16,11/27/2016 12:08:29
887,"17-19","57 (On Hit: 13)","8","270","20","33","1-2, 53&gt;","95",0,"Dair",16,11/27/2016 12:08:29
888,"20-45","-","8","60","35","-","-","95",0,"Dair (Late)",16,11/27/2016 12:08:29
889,"20-","46","3","361","60","","","100",2,"Water Shuriken (Uncharged)",16,11/27/2016 12:08:30
890,"60-100 (Rehit rate: 6)","86","0.7","21","W: 50","","","100",2,"Water Shuriken (Full Charge)",16,11/27/2016 12:08:30
891,"106","-","9","60","40","","","122",2,"Water Shuriken (Full Charge, Final Hit)",16,11/27/2016 12:08:30
892,"Hold Charge Until:","-","-","-","-","","","-",2,"Shadow Sneak (Charge)",16,11/27/2016 12:08:30
893,"27-28","67","10","48","60","","","104",2,"Shadow Sneak (Front Attack)",16,11/27/2016 12:08:30
894,"27-28","-","12","48","60","","","103",2,"Shadow Sneak (Back Attack)",16,11/27/2016 12:08:30
895,"19-31, 24-36, 30-42, 35-47","-","2","58","65","","","100",2,"Hydro Pump",16,11/27/2016 12:08:30
896,"Counters: 8-29 (Intangible: 8-19)","65","-","-","-","","","-",2,"Substitute",16,11/27/2016 12:08:30
897,"41-65 (Intangible: 1-37)","85","11","361","62","","","100",2,"Substitute (Attack, Neutral/Side)",16,11/27/2016 12:08:30
898,"41-65 (Intangible: 1-37)","-","14","90","50","","","100",2,"Substitute (Attack, Up)",16,11/27/2016 12:08:30
899,"41-65 (Intangible: 1-37)","-","13","60","62","","","100",2,"Substitute (Attack, Up Diagonal)",16,11/27/2016 12:08:30
900,"41-65 (Intangible: 1-37)","-","14","45/270","50","","","100",2,"Substitute (Attack, Down)",16,11/27/2016 12:08:30
901,"41-65 (Intangible: 1-37)","-","13","25","62","","","72",2,"Substitute (Attack, Down Diagonal)",16,11/27/2016 12:08:30
902,"4-5","24","3","65","W: 50","","","100",1,"Jab 1",17,11/27/2016 12:08:31
903,"3-4","28","3","65/80/65","W: 40/25/50","","","80/80/100",1,"Jab 2",17,11/27/2016 12:08:31
904,"5-8","39","5","45","60","","","100",1,"Jab 3",17,11/27/2016 12:08:31
905,"15-16 (Cannot Rebound)","52","14/11","52","70","","","78",1,"Dash Attack",17,11/27/2016 12:08:31
906,"17-19","-","9","45","60","","","100",1,"Dash Attack (Late)",17,11/27/2016 12:08:31
907,"13-14","42","12.5","361","30","","","97",1,"Ftilt (All Angles)",17,11/27/2016 12:08:31
908,"11-13","48","14","95","50","","","90",1,"Utilt",17,11/27/2016 12:08:31
909,"14-21","-","10","85","50","","","90",1,"Utilt (Late)",17,11/27/2016 12:08:31
910,"7-8","29","8","80","70","","","70",1,"Dtilt",17,11/27/2016 12:08:31
911,"31-32","84","19","361","40","","","90",1,"Fsmash",17,11/27/2016 12:08:31
912,"33-35","-","22/22/19","361/361/60","40","","","86",1,"Fsmash (Late)",17,11/27/2016 12:08:31
913,"25-29","71","17","82/75/70/65","50","","","86",1,"Usmash",17,11/27/2016 12:08:31
914,"30-31","-","10","65","50","","","85",1,"Usmash (Late)",17,11/27/2016 12:08:31
915,"13-15","71","14","48","40","","","100",1,"Dsmash (Hit 1)",17,11/27/2016 12:08:31
916,"32-33","-","17","48","40","","","100",1,"Dsmash (Hit 2)",17,11/27/2016 12:08:31
917,"34-36","-","8","61","30","","","100",1,"Dsmash (Hit 2, Late)",17,11/27/2016 12:08:31
919,"7-8","33","","","","","","",1,"Standing Grab",17,11/27/2016 12:08:31
920,"10-11","41","","","","","","",1,"Dash Grab",17,11/27/2016 12:08:31
921,"11-12","39","","","","","","",1,"Pivot Grab",17,11/27/2016 12:08:31
923,"-","-","3, 4","28","55","","","75",3,"Fthrow",17,11/27/2016 12:08:31
924,"-","-","3, 4","28","55","","","75",3,"Bthrow",17,11/27/2016 12:08:31
925,"-","-","3, 4","87","70","","","72",3,"Uthrow",17,11/27/2016 12:08:31
926,"-","-","3, 4","80","75","","","120",3,"Dthrow",17,11/27/2016 12:08:31
932,"12-21","60","10","70","35","14","1-5, 64&gt;","105",0,"Nair",17,11/27/2016 12:08:31
933,"22-27","-","7","70","35","-","-","105",0,"Nair (Late)",17,11/27/2016 12:08:31
934,"12-15","55","13","361","30","18","1-2, 36&gt;","100",0,"Fair",17,11/27/2016 12:08:31
935,"7-9","55","14","361","30","19","1-2, 35&gt;","100",0,"Bair",17,11/27/2016 12:08:31
936,"13-29","57","11","80","55","15","1-5, 51&gt;","94",0,"Uair",17,11/27/2016 12:08:31
937,"16-17","55","15","50/270","30/20","23","1-4, 48&gt;","100/90",0,"Dair",17,11/27/2016 12:08:31
938,"Starts Charging: Frame 20","Max Charge: Frames 180-189","-","-","-","","","-",2,"Eruption (Charging)",17,11/27/2016 12:08:31
939,"30-34","79","9","80/80/270/85","40","","","100",2,"Eruption",17,11/27/2016 12:08:31
940,"35-36","-","9","270/85","40","","","100",2,"Eruption (Late)",17,11/27/2016 12:08:31
941,"239-243 (Super Armor: 234-238)","288","35/28/26","361","20","","","70",2,"Eruption (Fully Charged)",17,11/27/2016 12:08:31
942,"Max Charge: 88~ Frames","-","-","-","-","","","-",2,"Quickdraw (Charge)",17,11/27/2016 12:08:31
943,"Travel Time: 12 Frames","57","-","-","-","","","-",2,"Quickdraw (Travel)",17,11/27/2016 12:08:31
944,"16-18","59","6","60","70","","","88",2,"Quickdraw (Attack)",17,11/27/2016 12:08:31
945,"18-19 (Super Armor: 18-21)","-","6","91/78/90/91","W: 160/160/130/130","","","100",2,"Aether (Hit 1)",17,11/27/2016 12:08:31
946,"20-29","-","4/4/6/6","91/91/90/91","W: 100/100/130/130","","","100",2,"Aether (Hit 1, Late)",17,11/27/2016 12:08:31
947,"30-39","-","2","91","W: 80","","","100",2,"Aether (Projectile, Hit 1)",17,11/27/2016 12:08:31
948,"40","-","1","91","W: 40","","","100",2,"Aether (Projectile, Hit 2)",17,11/27/2016 12:08:32
949,"47-57 (Rehit rate: 7)","-","1","366","W: 50","","","100",2,"Aether",17,11/27/2016 12:08:32
950,"64-","-","3","70/270/60","120","","","30",2,"Aether (Falling)",17,11/27/2016 12:08:32
951,"1","38","6","60","70","","","80",2,"Aether (Landing)",17,11/27/2016 12:08:32
952,"2-5 (Aerial Only)","-","6","60","70","","","80",2,"Aether (Landing, Late)",17,11/27/2016 12:08:32
953,"Counters: 9-35 (Intangible: 9-16)","59","-","-","-","","","-",2,"Counter",17,11/27/2016 12:08:32
954,"16 Freeze Frames, Intangible 1-16","-","-","-","-","","","-",2,"Counter (On Hit)",17,11/27/2016 12:08:32
955,"5-6 (Intangible: 1-5)","35","10 (1.2&#215;)","361","48","","","100",2,"Counter (Attack)",17,11/27/2016 12:08:32
956,"5-6","17","3","60/78","12","","","50",1,"Jab 1",18,11/27/2016 12:08:32
957,"5-6","20","3","55/65","22","","","50",1,"Jab 2",18,11/27/2016 12:08:32
958,"5-9 (Cannot Rebound)","40","12","361","16","","","100",1,"Dash Attack",18,11/27/2016 12:08:32
959,"10-20 (Cannot Rebound)","-","8","361","8","","","100",1,"Dash Attack (Late)",18,11/27/2016 12:08:32
960,"7-10","28","10","361","8","","","100",1,"Ftilt (All Angles)",18,11/27/2016 12:08:32
961,"9-10","24","9","96","40","","","120",1,"Utilt",18,11/27/2016 12:08:32
962,"11-13","-","8","88","40","","","120",1,"Utilt (Late)",18,11/27/2016 12:08:32
963,"10-12","31","10","20","50","","","55",1,"Dtilt",18,11/27/2016 12:08:32
964,"16-19","50","15","361","10","","","115",1,"Fsmash",18,11/27/2016 12:08:32
965,"20-24","-","12","361","6","","","85",1,"Fsmash (Late)",18,11/27/2016 12:08:33
966,"16-19","46","14/12","87","20","","","105",1,"Usmash",18,11/27/2016 12:08:33
967,"14-15 (Legs Intangible: 14-15)","49","11","0","34","","","69",1,"Dsmash",18,11/27/2016 12:08:33
969,"6-7","27","","","","","","",1,"Standing Grab",18,11/27/2016 12:08:33
970,"8-9","33","","","","","","",1,"Dash Grab",18,11/27/2016 12:08:33
971,"9-10","32","","","","","","",1,"Pivot Grab",18,11/27/2016 12:08:33
973,"-","-","5, 5","55","100","","","30",3,"Fthrow",18,11/27/2016 12:08:33
974,"-","-","10","45","90","","","25",3,"Bthrow",18,11/27/2016 12:08:33
975,"-","-","10","90","110","","","30",3,"Uthrow",18,11/27/2016 12:08:33
976,"-","-","4, 6","80","100","","","45",3,"Dthrow",18,11/27/2016 12:08:33
982,"6-7","44","11","361","30","15","1-3, 40&gt;","100",0,"Nair",18,11/27/2016 12:08:33
983,"8-30","-","6","361","50","-","-","70",0,"Nair (Late)",18,11/27/2016 12:08:33
984,"8-9","37","9","361","30","15","1-3, 28&gt;","98",0,"Fair",18,11/27/2016 12:08:33
985,"10-20","-","6","361","30","-","-","70",0,"Fair (Late)",18,11/27/2016 12:08:33
986,"12-13","40","13","42","0/30","18","1-3, 28&gt;","120",0,"Bair",18,11/27/2016 12:08:33
987,"9-21","45","9","88","30","15","1-3, 35&gt;","100",0,"Uair",18,11/27/2016 12:08:33
988,"7-8, 10-11, 13-14, 16-17, 19-20, 22-23, 25-26, 28-29","53","1.5","145/280","B: 10/W: 30","30","45&gt;","100",0,"Dair (Hits 1-8)",18,11/27/2016 12:08:33
989,"31-32","-","2","42","30","-","-","150",0,"Dair (Hit 9)",18,11/27/2016 12:08:33
990,"Full Charge Time: ~50 Frames","-","-","-","-","","","-",2,"Rollout (Charge)",18,11/27/2016 12:08:33
991,"1-","74 (On hit)","7","30","30","","","92",2,"Rollout (Ground, Release)",18,11/27/2016 12:08:33
992,"1-","-","10","90","30","","","102",2,"Rollout (Aerial, Release)",18,11/27/2016 12:08:33
993,"13-28","46","11","75","52","","","75",2,"Pound",18,11/27/2016 12:08:33
994,"29-33, 73-77, 122-134","180","0","-","-","","","-",2,"Sing",18,11/27/2016 12:08:33
995,"2-4 (Intangible 1-27)","230","20","88","100","","","66",2,"Rest",18,11/27/2016 12:08:33
996,"10-11","38","4","70/105/361","50/48/W: 25","","","10/10/100",1,"Jab 1",19,11/27/2016 12:08:34
997,"11-12","28","4","115/105/100","50/50/30","","","10/10/45",1,"Jab 2",19,11/27/2016 12:08:34
998,"-","-","1","20/20/68","W: 60/20/2","","","100",1,"Rapid Jab",19,11/27/2016 12:08:34
999,"6","47","3","70","80","","","150",1,"Rapid Jab Finisher",19,11/27/2016 12:08:34
1000,"26-27","67","16 (+3)","361","40","","","100",1,"Dash Attack",19,11/27/2016 12:08:34
1001,"28-35","-","13 (+3)","361","35","","","100",1,"Dash Attack (Late)",19,11/27/2016 12:08:34
1002,"12-21 (Rehit rate: 4/4/3/3)","49","2","25/25/96/250","90/80/24/24","","","100",1,"Ftilt",19,11/27/2016 12:08:34
1003,"23","-","3","50","30","","","190",1,"Ftilt (Final Hit)",19,11/27/2016 12:08:34
1004,"9-15 (Head and Left Arm Intangibility: 9-15)","44","12/10","96","50","","","80",1,"Utilt",19,11/27/2016 12:08:34
1005,"6-8","38","10","45","60","","","75",1,"Dtilt",19,11/27/2016 12:08:34
1006,"9-13","-","6","45","60","","","75",1,"Dtilt (Late)",19,11/27/2016 12:08:34
1007,"42-44","82","15","361","30","","","93",1,"Fsmash",19,11/27/2016 12:08:34
1008,"45-47","-","24 (+4)","361","30","","","93",1,"Fsmash (Late)",19,11/27/2016 12:08:34
1009,"48-49 (Grounded Only)","-","6","60","100","","","30",1,"Fsmash (Shockwave)",19,11/27/2016 12:08:34
1010,"17-24","68","14/14/14/9","80","40","","","95/96/96/96",1,"Usmash",19,11/27/2016 12:08:34
1011,"14-22","53","13","30/361","60","","","80",1,"Dsmash",19,11/27/2016 12:08:34
1013,"7-8","36","","","","","","",1,"Standing Grab",19,11/27/2016 12:08:34
1014,"9-10","45","","","","","","",1,"Dash Grab",19,11/27/2016 12:08:34
1015,"10-11","42","","","","","","",1,"Pivot Grab",19,11/27/2016 12:08:34
1017,"-","-","4, 6","45","70","","","80",3,"Fthrow",19,11/27/2016 12:08:34
1018,"-","-","4, 9","60","60","","","79",3,"Bthrow",19,11/27/2016 12:08:34
1019,"-","-","4, 5","90","70","","","72",3,"Uthrow",19,11/27/2016 12:08:34
1020,"-","-","6","80","70","","","82",3,"Dthrow",19,11/27/2016 12:08:34
1026,"7-8","40","12","60","40","15","1-2, 35&gt;","95",0,"Nair",19,11/27/2016 12:08:34
1027,"9-29","-","7","80","40","-","-","95",0,"Nair (Late)",19,11/27/2016 12:08:34
1028,"13-15","42","12","361","15","30","1-4, 40&gt;","90",0,"Fair",19,11/27/2016 12:08:34
1029,"17-19","38","16","361","30","21","1-4, 33&gt;","88",0,"Bair",19,11/27/2016 12:08:34
1030,"10, 12, 14, 16, 18, 20, 22","45","1","366/366/90/90","W: 20/20/40/40","22","1-4, 42&gt;","100",0,"Uair (Hits 1-6)",19,11/27/2016 12:08:34
1031,"24-25","-","5","70/80/70/70","50","-","-","150",0,"Uair (Hit 7)",19,11/27/2016 12:08:34
1032,"22-23","48","15/15/8","270/361/361","20","30","1-6, 44&gt;","90/100/100",0,"Dair",19,11/27/2016 12:08:34
1033,"17-","78","-","-","-","","","-",2,"Inhale",19,11/27/2016 12:08:34
1034,"6-","30","10","361","0","","","0",2,"Inhale (Spit)",19,11/27/2016 12:08:34
1035,"29","64","10","?","?","","","?",2,"Gordo Throw (Hammer)",19,11/27/2016 12:08:34
1036,"29-58 (Gordo Generated: Frame 6)","-","14","60","70","","","66",2,"Gordo Throw (Gordo, Early)",19,11/27/2016 12:08:34
1037,"88-116","-","12.5","60","70","","","66",2,"Gordo Throw (Gordo)",19,11/27/2016 12:08:34
1038,"117-145","-","11","60","70","","","66",2,"Gordo Throw (Gordo, Late)",19,11/27/2016 12:08:34
1039,"146-","-","9.5","60","70","","","66",2,"Gordo Throw (Gordo, Latest)",19,11/27/2016 12:08:34
1040,"-","-","10","75","50","","","50",2,"Gordo Throw (Wall)",19,11/27/2016 12:08:34
1041,"Super Armor: 26-32, 73-80","-","-","-","-","","","-",2,"Super Dedede Jump (Super Armor)",19,11/27/2016 12:08:34
1042,"Feet: 73-, Body: 22-25","-","-","-","-","","","-",2,"Super Dedede Jump (Intangibility)",19,11/27/2016 12:08:34
